Feature Name,Locus,Start Coordinate,End Coordinate,Translation Start Coordinate,Translation End Coordinate,Disruptions Available,Distance from Translation Start,Fractional Distance from Translation Start,In Multiple Occupancy Well,Locatability,Progenitor Collection Address,Rearrayed Collection Address
tonB,['SO_4564'],4760835,4761446,4760835,4761446,"4761311","476","0.78","False","unambiguous","216_B8","19_C6"
yjeH,['SO_4565'],4761520,4762800,4762800,4761520,"4762326, 4761532, 4761808","474, 1268, 992","0.37, 0.99, 0.78","False, True, True","unambiguous, ambiguous, ambiguous","103_B9, 152_C7, 385_D7","11_D10, 14_A6, 33_A4"
SO_4567,['SO_4567'],4763027,4763458,4763027,4763458,"4763140","113","0.26","True","unambiguous","367_A11","31_F8"
nrfD,['SO_4568'],4763724,4764665,4764665,4763724,"4764539","126","0.13","False","unambiguous","360_C2","43_F3"
nrfC,['SO_4569'],4764662,4764769,4764769,4764662,"4764765","4","0.04","True","unambiguous","253_H11","22_A3"
dmsE,['SO_4570'],4764819,4765073,4765073,4764819,"4764842","231","0.91","True","unambiguous","192_F3","38_E6"
SO_4571,['SO_4571'],4765367,4766326,4766326,4765367,"4766280","46","0.05","False","unambiguous","111_A5","12_D3"
SO_4572,['SO_4572'],4766504,4766806,4766504,4766806,"4766701","197","0.65","False","unambiguous","119_C3","12_H8"
menD,['SO_4573'],4766997,4768718,4766997,4768718,"4767186, 4767857, 4767186, 4767186, 4767045","189, 860, 189, 189, 48","0.11, 0.50, 0.11, 0.11, 0.03","False, True, True, True, True","unambiguous, unambiguous, unambiguous, unambiguous, unambiguous","111_B6, 170_H8, 111_B3, 111_B3, 262_B7","5_G7, 15_C12, 36_B2, 36_C2, 40_G9"
menH,['SO_4574'],4768718,4769518,4768718,4769518,"4768810","92","0.12","False","unambiguous","280_H9","24_C4"
menC,['SO_4575'],4769569,4770693,4769569,4770693,"4769664, 4770683","95, 1114","0.08, 0.99","False, True","unambiguous, ambiguous","200_B9, 217_E10","18_E4, 19_H6"
menE,['SO_4576'],4770701,4772146,4770701,4772146,"4771494, 4771710, 4771494, 4771306","793, 1009, 793, 605","0.55, 0.70, 0.55, 0.42","True, True, True, False","ambiguous, unambiguous, ambiguous, unambiguous","139_C12, 132_D4, 139_C1, 203_D7","6_A10, 6_B6, 13_E8, 38_F11"
SO_4577,['SO_4577'],4772190,4772423,4772423,4772190,"4772395","28","0.12","False","unambiguous","308_H8","26_G12"
tnpA,['SO_4578'],4772525,4773556,4772525,4773556,"","","","","","",""
fimA,['SO_4579'],4773589,4774149,4774149,4773589,"4773625","524","0.94","False","unambiguous","413_D5","35_A5"
tnpA,['SO_4581'],4774675,4775834,4775834,4774675,"","","","","","",""
tnpA,['SO_4582'],4776493,4777695,4777695,4776493,"","","","","","",""
rpoH,['SO_4583'],4778239,4779096,4779096,4778239,"","","","","","",""
ftsX,['SO_4584'],4779327,4780292,4780292,4779327,"4779405","887","0.92","False","unambiguous","34_F11","8_A10"
ftsE,['SO_4585'],4780289,4780990,4780990,4780289,"4780348","642","0.92","False","unambiguous","294_E8","25_A6"
ftsY,['SO_4586'],4780994,4782526,4782526,4780994,"","","","","","",""
rsmD,['SO_4587'],4782794,4783441,4782794,4783441,"4783065","271","0.42","False","unambiguous","365_H7","31_E7"
SO_4588,['SO_4588'],4783443,4783724,4783443,4783724,"4783552","109","0.39","False","unambiguous","194_D4","17_H10"
SO_4589,['SO_4589'],4783672,4784664,4784664,4783672,"4784455, 4783886","209, 778","0.21, 0.78","False, True","unambiguous, unambiguous","312_D2, 200_A9","27_B4, 38_F10"
SO_4590,['SO_4590'],4784774,4785307,4784774,4785307,"4784881, 4785034","107, 260","0.20, 0.49","False, True","unambiguous, unambiguous","121_A5, 155_B8","5_G12, 37_F4"
cymA,['SO_4591'],4785370,4785933,4785933,4785370,"4785897","36","0.06","False","unambiguous","126_A2","13_D1"
SO_4592,['SO_4592'],4786343,4786705,4786343,4786705,"4786417","74","0.20","False","unambiguous","389_C8","33_H8"
SO_4593,['SO_4593'],4786800,4787255,4786800,4787255,"4786949, 4786949, 4786949","149, 149, 149","0.33, 0.33, 0.33","False, True, True","unambiguous, unambiguous, unambiguous","359_B11, 359_B3, 359_B3","30_D12, 43_G2, 43_H2"
SO_4594,['SO_4594'],4787360,4787803,4787360,4787803,"4787427","67","0.15","False","unambiguous","408_D3","34_H12"
cusF,['SO_4596'],4788020,4788280,4788020,4788280,"4788220, 4788220","200, 200","0.77, 0.77","False, True","unambiguous, unambiguous","106_B6, 106_B3","5_B6, 35_F12"
cusB,['SO_4597'],4788302,4789786,4788302,4789786,"4788471, 4789412, 4788683","169, 1110, 381","0.11, 0.75, 0.26","False, True, True","unambiguous, unambiguous, unambiguous","403_D11, 245_F6, 406_B3","34_F7, 40_E2, 44_H5"
cusA,['SO_4598'],4789796,4792933,4789796,4792933,"4791509, 4790247","1713, 451","0.55, 0.14","True, False","ambiguous, unambiguous","93_H9, 251_H3","4_B10, 22_B1"
SO_4599,['SO_4599'],4793179,4794333,4793179,4794333,"4793256, 4793395, 4793255","77, 216, 76","0.07, 0.19, 0.07","True, True, False","unambiguous, unambiguous, unambiguous","251_C10, 233_B3, 232_F2","21_D12, 39_A10, 39_F9"
SO_4600,['SO_4600'],4794354,4795136,4795136,4794354,"4794843","293","0.37","False","unambiguous","297_D8","25_H8"
mtr,['SO_4601'],4795349,4796605,4796605,4795349,"4795882, 4796155, 4796026","723, 450, 579","0.58, 0.36, 0.46","True, False, True","unambiguous, unambiguous, unambiguous","187_A4, 207_C11, 297_C3","17_A4, 18_H10, 25_G8"
plsB,['SO_4602'],4796598,4799027,4799027,4796598,"4796638, 4796638, 4796638","2389, 2389, 2389","0.98, 0.98, 0.98","True, True, True","unambiguous, unambiguous, unambiguous","151_H3, 151_H3, 151_H3","37_B2, 37_C2, 37_D2"
lexA,['SO_4603'],4799189,4799809,4799189,4799809,"4799410, 4799700, 4799410, 4799700, 4799700, 4799700, 4799700","221, 511, 221, 511, 511, 511, 511","0.36, 0.82, 0.36, 0.82, 0.82, 0.82, 0.82","True, True, True, True, True, True, True","ambiguous, ambiguous, ambiguous, ambiguous, ambiguous, ambiguous, ambiguous","178_C11, 323_C3, 178_C11, 176_B3, 281_B7, 323_B3, 323_C7","16_E7, 27_H12, 37_E12, 37_H11, 41_F3, 42_C4, 42_D4"
sulA,['SO_4604'],4799806,4800318,4799806,4800318,"4799819","13","0.03","True","unambiguous","60_G4","3_G4"
coxB,['SO_4606'],4800723,4802264,4800723,4802264,"4802066","1343","0.87","False","unambiguous","370_H6","31_A12"
coxA,['SO_4607'],4802279,4803871,4802279,4803871,"4802413, 4803748, 4803202","134, 1469, 923","0.08, 0.92, 0.58","False, True, False","unambiguous, unambiguous, unambiguous","32_F4, 140_B3, 243_G11","2_C4, 6_E10, 21_F6"
ctaG,['SO_4608'],4803873,4804454,4803873,4804454,"4803937, 4803937","64, 64","0.11, 0.11","False, True","unambiguous, unambiguous","408_B4, 408_B3","34_D12, 44_H6"
coxC,['SO_4609'],4804451,4805326,4804451,4805326,"4804596","145","0.17","True","unambiguous","123_H7","12_G11"
SO_4610,['SO_4610'],4805373,4805603,4805603,4805373,"4805527","76","0.33","False","unambiguous","367_H12","31_F9"
SO_4611,['SO_4611'],4805602,4806447,4805602,4806447,"4805652, 4805622","50, 20","0.06, 0.02","True, True","unambiguous, unambiguous","372_E11, 191_B3","32_E1, 38_G5"
SO_4612,['SO_4612'],4806524,4807069,4806524,4807069,"4806687, 4806568, 4806567","163, 44, 43","0.30, 0.08, 0.08","True, True, False","ambiguous, ambiguous, ambiguous","87_A3, 267_A5, 211_A7","4_C6, 23_D2, 39_D2"
ctaA,['SO_4613'],4807069,4808061,4807069,4808061,"4807297, 4807593","228, 524","0.23, 0.53","False, True","unambiguous, unambiguous","254_H5, 117_B3","22_G3, 36_H3"
ctaB,['SO_4614'],4808064,4808966,4808064,4808966,"4808237","173","0.19","True","ambiguous","130_B1","6_A5"
senC,['SO_4615'],4809017,4809658,4809017,4809658,"4809261, 4809205","244, 188","0.38, 0.29","False, True","unambiguous, unambiguous","80_G4, 43_B3","4_G2, 44_E9"
SO_4616,['SO_4616'],4809703,4810749,4810749,4809703,"4810433, 4809896","316, 853","0.30, 0.82","False, True","unambiguous, unambiguous","128_F11, 408_B3","13_A3, 44_H6"
dinF,['SO_4617'],4810772,4812139,4810772,4812139,"4810893, 4812127","121, 1355","0.09, 0.99","False, True","unambiguous, ambiguous","171_A8, 360_B6","15_D12, 31_G1"
SO_4618,['SO_4618'],4812217,4814154,4812217,4814154,"4812693","476","0.25","True","unambiguous","300_G4","26_G1"
nfuA,['SO_4619'],4814217,4814795,4814795,4814217,"","","","","","",""
SO_4620,['SO_4620'],4815047,4816795,4816795,4815047,"4815328, 4816553","1467, 242","0.84, 0.14","True, False","ambiguous, unambiguous","217_G2, 304_D11","19_D7, 26_G7"
SO_4621,['SO_4621'],4816888,4817652,4817652,4816888,"4817210, 4817591","442, 61","0.58, 0.08","True, True","unambiguous, ambiguous","56_D1, 249_B5","9_H8, 40_B4"
SO_4622,['SO_4622'],4817827,4819068,4819068,4817827,"4818701, 4818895, 4817958, 4817958","367, 173, 1110, 1110","0.30, 0.14, 0.89, 0.89","True, False, True, True","ambiguous, unambiguous, ambiguous, ambiguous","58_B9, 92_C5, 297_F3, 45_B3","3_B3, 11_D3, 25_B9, 44_C10"
SO_4623,['SO_4623'],4819055,4819732,4819732,4819055,"4819659","73","0.11","False","ambiguous","264_A5","22_D11"
SO_4624,['SO_4624'],4819735,4820481,4820481,4819735,"4820434","47","0.06","False","unambiguous","344_D8","29_D9"
SO_4625,['SO_4625'],4820653,4821360,4821360,4820653,"4821159","201","0.28","False","unambiguous","339_C12","29_B4"
bioH,['SO_4626'],4821467,4822258,4821467,4822258,"","","","","","",""
SO_4627,['SO_4627'],4822320,4822868,4822320,4822868,"","","","","","",""
SO_4628,['SO_4628'],4822926,4824908,4824908,4822926,"4824682, 4822981","226, 1927","0.11, 0.97","False, True","unambiguous, ambiguous","27_E9, 384_F3","8_A5, 33_G2"
tex,['SO_4629'],4825123,4827477,4827477,4825123,"4826861, 4827468, 4826861","616, 9, 616","0.26, 0.00, 0.26","True, False, True","unambiguous, unambiguous, unambiguous","115_B3, 233_A6, 115_B3","5_B10, 20_B9, 36_C3"
greB,['SO_4631'],4827607,4828110,4828110,4827607,"4828069","41","0.08","False","unambiguous","11_D5","36_D1"
ompR,['SO_4633'],4828766,4829491,4828766,4829491,"4828807","41","0.06","False","unambiguous","336_D4","28_B12"
envZ,['SO_4634'],4829532,4830848,4829532,4830848,"4829799","267","0.20","False","unambiguous","350_E4","30_C4"
SO_4635,['SO_4635'],4830965,4832941,4830965,4832941,"4831863","898","0.45","False","unambiguous","174_B8","16_H2"
SO_4636,['SO_4636'],4833024,4834301,4834301,4833024,"4834277, 4833119","24, 1182","0.02, 0.93","False, True","unambiguous, ambiguous","17_F1, 43_B3","7_A11, 44_E9"
SO_4637,['SO_4637'],4834390,4835058,4834390,4835058,"4834638","248","0.37","True","unambiguous","260_G10","22_B7"
SO_4638,['SO_4638'],4835030,4836322,4835030,4836322,"4835941","911","0.71","False","unambiguous","86_D2","4_G5"
SO_4639,['SO_4639'],4836413,4836802,4836413,4836802,"4836611","198","0.51","True","ambiguous","368_E2","43_C5"
SO_4640,['SO_4640'],4836904,4837380,4837380,4836904,"4837315","65","0.14","False","unambiguous","262_H8","22_E9"
SO_4641,['SO_4641'],4837822,4838127,4838127,4837822,"4837927, 4837905","200, 222","0.66, 0.73","False, True","unambiguous, unambiguous","109_G7, 177_A3","12_D2, 37_D12"
SO_4642,['SO_4642'],4838115,4838372,4838372,4838115,"4838331, 4838331","41, 41","0.16, 0.16","True, True","ambiguous, unambiguous","222_B11, 222_A11","19_D11, 39_F6"
SO_4643,['SO_4643'],4838514,4838843,4838843,4838514,"4838743, 4838753, 4838753","100, 90, 90","0.30, 0.27, 0.27","True, True, True","unambiguous, unambiguous, unambiguous","353_C11, 111_B3, 111_B3","30_H6, 36_B2, 36_C2"
SO_4812,['SO_4812'],4839143,4840975,4840975,4839143,"4840867","108","0.06","False","unambiguous","210_H2","19_B2"
SO_4645,['SO_4645'],4841297,4842214,4842214,4841297,"4842037, 4842178","177, 36","0.19, 0.04","True, True","unambiguous, unambiguous","70_D9, 233_B3","10_H4, 39_A10"
SO_4646,['SO_4646'],4842582,4842881,4842582,4842881,"4842619","37","0.12","False","unambiguous","217_C10","19_F6"
SO_4647,['SO_4647'],4842883,4843578,4842883,4843578,"4842893, 4842962","10, 79","0.01, 0.11","False, True","unambiguous, ambiguous","160_A5, 269_F10","15_A2, 23_H4"
SO_4648,['SO_4648'],4843571,4844935,4843571,4844935,"4844384, 4843705","813, 134","0.60, 0.10","True, True","unambiguous, unambiguous","186_F6, 224_A3","17_C3, 39_E7"
SO_4649,['SO_4649'],4845086,4846546,4845086,4846546,"4845423","337","0.23","False","unambiguous","68_H11","3_D9"
SO_4650,['SO_4650'],4847051,4847683,4847051,4847683,"4847583, 4847067","532, 16","0.84, 0.03","False, True","unambiguous, unambiguous","133_C11, 394_C2","6_F6, 43_D11"
SO_4651,['SO_4651'],4847767,4847943,4847767,4847943,"4847786","19","0.11","True","unambiguous","139_H4","13_B9"
sbp,['SO_4652'],4848025,4849038,4848025,4849038,"4848035","10","0.01","False","unambiguous","199_A12","18_E3"
cysT,['SO_4653'],4849101,4849925,4849101,4849925,"4849373","272","0.33","False","unambiguous","115_A4","5_H9"
cysW,['SO_4654'],4849930,4850781,4849930,4850781,"4850559, 4850506","629, 576","0.74, 0.68","False, True","unambiguous, unambiguous","28_D12, 238_E12","2_C2, 39_H11"
cysA,['SO_4655'],4850809,4851873,4850809,4851873,"4850817","8","0.01","False","unambiguous","162_G2","37_B7"
SO_4656,['SO_4656'],4851933,4852409,4852409,4851933,"4852101, 4852237","308, 172","0.65, 0.36","True, False","unambiguous, unambiguous","46_D3, 173_C8","2_B10, 16_D2"
SO_4657,['SO_4657'],4852483,4856028,4856028,4852483,"4855115, 4855435, 4853241, 4855899, 4853433, 4855115, 4853244, 4853244, 4853189","913, 593, 2787, 129, 2595, 913, 2784, 2784, 2839","0.26, 0.17, 0.79, 0.04, 0.73, 0.26, 0.79, 0.79, 0.80","True, True, True, False, True, True, True, True, True","unambiguous, ambiguous, ambiguous, unambiguous, ambiguous, unambiguous, unambiguous, unambiguous, unambiguous","115_B3, 104_F6, 338_B11, 385_A8, 412_C11, 115_B3, 237_B3, 237_B3, 239_B3","5_B10, 11_B11, 29_C2, 33_E3, 35_B4, 36_C3, 39_C11, 39_D11, 39_D12"
SO_4813,['SO_4813'],4856717,4857200,4857200,4856717,"4857094, 4857094, 4857094","106, 106, 106","0.22, 0.22, 0.22","True, True, True","unambiguous, unambiguous, unambiguous","396_B4, 396_B3, 396_B3","34_D1, 44_A1, 44_B1"
rsmJ,['SO_4658'],4857589,4858338,4858338,4857589,"4857766, 4858330","572, 8","0.76, 0.01","True, True","unambiguous, unambiguous","193_B9, 232_B3","17_F9, 39_G9"
yhiR,['SO_4659'],4858525,4859370,4858525,4859370,"4858608","83","0.10","False","unambiguous","170_A12","15_B11"
SO_4660,['SO_4660'],4859481,4860200,4860200,4859481,"4859704, 4859704","496, 496","0.69, 0.69","True, False","unambiguous, unambiguous","409_C5, 408_C5","35_F1, 44_A7"
SO_4661,['SO_4661'],4860200,4861237,4861237,4860200,"4860957","280","0.27","False","unambiguous","225_G9","20_E2"
SO_4662,['SO_4662'],4861287,4861853,4861853,4861287,"4861496","357","0.63","False","unambiguous","340_H1","29_B5"
SO_4664,['SO_4664'],4862320,4862595,4862595,4862320,"4862322","273","0.99","False","unambiguous","27_E2","8_G4"
SO_4824,['SO_4824'],4862673,4862954,4862954,4862673,"4862846","108","0.38","False","ambiguous","15_E7","7_E9"
cytcB,['SO_4666'],4863326,4863949,4863949,4863326,"4863939","10","0.02","False","unambiguous","38_E11","8_E12"
yihA,['SO_4667'],4864119,4864778,4864119,4864778,"","","","","","",""
spf,['SO_m006'],4865143,4865264,4865264,4865143,"4865200","64","0.53","True","ambiguous","52_B5","44_B12"
polA,['SO_4669'],4865828,4868596,4868596,4865828,"","","","","","",""
elbB,['SO_4670'],4868982,4869638,4868982,4869638,"4869558, 4869399","576, 417","0.88, 0.64","False, True","unambiguous, unambiguous","241_B4, 351_E11","21_B4, 42_G12"
glpG,['SO_4671'],4869718,4870560,4870560,4869718,"4870500","60","0.07","False","unambiguous","316_A3","27_C8"
glpE,['SO_4672'],4870557,4870862,4870862,4870557,"4870824","38","0.12","True","unambiguous","119_C9","12_B9"
tdh,['SO_4673'],4870961,4871986,4871986,4870961,"4871975","11","0.01","False","unambiguous","192_H11","17_E9"
kbl,['SO_4674'],4871998,4873191,4873191,4871998,"4872981, 4872981","210, 210","0.18, 0.18","False, True","unambiguous, unambiguous","179_B6, 179_B3","16_B9, 37_H12"
SO_4675,['SO_4675'],4873477,4874124,4874124,4873477,"4874003, 4873762","121, 362","0.19, 0.56","False, True","unambiguous, ambiguous","341_C9, 113_E10","29_F5, 36_H2"
kdtA,['SO_4676'],4874425,4875699,4874425,4875699,"","","","","","",""
kdkA,['SO_4677'],4875715,4876467,4876467,4875715,"4876440","27","0.04","False","unambiguous","128_F5","13_B3"
waaC,['SO_4678'],4876556,4877599,4876556,4877599,"4876787","231","0.22","False","unambiguous","321_B9","27_H11"
wabH,['SO_4679'],4877652,4878737,4877652,4878737,"4878340, 4877729","688, 77","0.63, 0.07","True, True","unambiguous, unambiguous","194_E3, 402_G3","17_D11, 44_F4"
SO_4680,['SO_4680'],4878757,4879833,4878757,4879833,"4878801","44","0.04","False","unambiguous","85_C6","4_G4"
SO_4681,['SO_4681'],4879869,4881047,4881047,4879869,"4880987, 4880712","60, 335","0.05, 0.28","False, True","unambiguous, unambiguous","249_E1, 361_B3","21_A11, 43_A4"
SO_4682,['SO_4682'],4881333,4882403,4882403,4881333,"4882048, 4882082","355, 321","0.33, 0.30","True, True","unambiguous, unambiguous","348_G4, 254_B3","30_D2, 40_A7"
coaD,['SO_4684'],4882679,4883170,4882679,4883170,"","","","","","",""
SO_4685,['SO_4685'],4883248,4884720,4883248,4884720,"4883459, 4884622","211, 1374","0.14, 0.93","True, True","unambiguous, unambiguous","238_F5, 118_B3","21_H1, 36_A4"
wcvA,['SO_4686'],4885047,4886054,4886054,4885047,"4885899, 4885685","155, 369","0.15, 0.37","False, True","unambiguous, unambiguous","20_G3, 308_F6","7_A12, 26_A12"
wcvB,['SO_4687'],4886079,4887242,4887242,4886079,"4886975, 4886471","267, 771","0.23, 0.66","False, True","ambiguous, unambiguous","297_B11, 206_B3","25_E8, 38_C12"
SO_4688,['SO_4688'],4887477,4888208,4887477,4888208,"4887733","256","0.35","False","unambiguous","122_F4","6_F1"
SO_4689,['SO_4689'],4888210,4888869,4888210,4888869,"4888706, 4888222","496, 12","0.75, 0.02","True, True","ambiguous, ambiguous","364_B1, 163_B5","31_G5, 37_E7"
SO_4690,['SO_4690'],4889113,4890837,4889113,4890837,"4889314","201","0.12","False","unambiguous","293_H8","25_B5"
vmeB,['SO_4692'],4891484,4894618,4894618,4891484,"4894561","57","0.02","False","unambiguous","344_H6","29_C10"
vmeA,['SO_4693'],4894628,4895776,4895776,4894628,"4895081, 4894844","695, 932","0.61, 0.81","False, True","unambiguous, ambiguous","59_F4, 254_C4","9_D10, 22_D3"
torF,['SO_4694'],4896535,4897281,4896535,4897281,"4897048","513","0.69","False","unambiguous","218_H10","19_H8"
SO_4696,['SO_4696'],4897615,4898304,4898304,4897615,"4898096, 4897645","208, 659","0.30, 0.96","False, True","unambiguous, unambiguous","132_A12, 368_B3","13_C5, 43_D5"
gst,['SO_4697'],4898507,4899154,4898507,4899154,"4899036, 4899036","529, 529","0.82, 0.82","False, False","unambiguous, unambiguous","54_D7, 54_D7","3_E1, 9_G7"
SO_4698,['SO_4698'],4899167,4899697,4899697,4899167,"4899610, 4899266, 4899188","87, 431, 509","0.16, 0.81, 0.96","False, True, True","unambiguous, unambiguous, unambiguous","68_G10, 117_B3, 290_B3","10_C4, 36_H3, 41_G6"
prlC,['SO_4699'],4899834,4901873,4901873,4899834,"4901732, 4901733, 4900794, 4901732","141, 140, 1079, 141","0.07, 0.07, 0.53, 0.07","True, True, True, False","ambiguous, ambiguous, unambiguous, ambiguous","187_A9, 267_A5, 289_B8, 397_A9","17_B4, 23_D2, 24_E12, 34_E2"
SO_4700,['SO_4700'],4902142,4902930,4902142,4902930,"4902322","180","0.23","False","unambiguous","21_H1","1_B10"
SO_4701,['SO_4701'],4903026,4903559,4903026,4903559,"4903064, 4903065, 4903056","38, 39, 30","0.07, 0.07, 0.06","True, False, True","ambiguous, ambiguous, unambiguous","186_B7, 258_H3, 144_B3","17_G2, 22_C6, 36_H10"
gor,['SO_4702'],4903736,4905091,4903736,4905091,"4903755","19","0.01","True","unambiguous","353_A8","30_G6"
SO_4704,['SO_4704'],4905984,4906772,4905984,4906772,"4906072","88","0.11","False","unambiguous","359_G9","31_D1"
SO_4705,['SO_4705'],4907157,4908689,4908689,4907157,"4908279, 4908617","410, 72","0.27, 0.05","False, True","unambiguous, unambiguous","203_B10, 367_B3","18_D7, 43_B5"
SO_4706,['SO_4706'],4908901,4909464,4908901,4909464,"4909081, 4909167","180, 266","0.32, 0.47","False, True","unambiguous, unambiguous","115_H3, 269_B3","5_F10, 40_E11"
tnpA,['SO_4707'],4909522,4910724,4910724,4909522,"4909524","1200","1.00","False","unambiguous","35_D9","42_D12"
SO_4708,['SO_4708'],4911032,4911982,4911032,4911982,"4911102, 4911160","70, 128","0.07, 0.13","False, True","unambiguous, unambiguous","377_D12, 224_B3","32_D6, 39_F7"
SO_4709,['SO_4709'],4911992,4912138,4912138,4911992,"","","","","","",""
SO_4710,['SO_4710'],4912350,4912985,4912985,4912350,"4912734, 4912933","251, 52","0.40, 0.08","True, True","ambiguous, unambiguous","348_B9, 352_C3","30_F1, 43_B1"
SO_4711,['SO_4711'],4913091,4914275,4914275,4913091,"4913672","603","0.51","False","unambiguous","228_G6","20_A5"
SO_4712,['SO_4712'],4914682,4916076,4916076,4914682,"4915890","186","0.13","False","unambiguous","170_A3","15_C11"
menF,['SO_4713'],4916558,4917916,4916558,4917916,"4917487, 4917892, 4916865, 4916865, 4917487, 4917487, 4917487","929, 1334, 307, 307, 929, 929, 929","0.68, 0.98, 0.23, 0.23, 0.68, 0.68, 0.68","True, True, False, True, True, True, True","unambiguous, ambiguous, ambiguous, ambiguous, unambiguous, unambiguous, unambiguous","41_B3, 51_C3, 154_A9, 155_A9, 24_B3, 25_B3, 41_B3","2_C8, 2_E12, 37_B4, 37_G4, 39_E12, 40_G4, 44_E7"
SO_4714,['SO_4714'],4917948,4918673,4918673,4917948,"4918032, 4917978, 4918032","641, 695, 641","0.88, 0.96, 0.88","True, False, True","unambiguous, unambiguous, unambiguous","7_B3, 25_C4, 7_B3","1_C2, 8_C3, 45_F5"
SO_4715,['SO_4715'],4918915,4919574,4918915,4919574,"4918999","84","0.13","False","unambiguous","349_C12","30_A3"
SO_4716,['SO_4716'],4919674,4920141,4919674,4920141,"4919963","289","0.62","True","unambiguous","151_E5","37_E2"
ryhB,['SO_m007'],4920249,4920355,4920249,4920355,"","","","","","",""
SO_4717,['SO_4717'],4920403,4922532,4922532,4920403,"4922208, 4922213","324, 319","0.15, 0.15","False, True","unambiguous, unambiguous","176_C4, 9_B3","16_C5, 45_D11"
SO_4718,['SO_4718'],4922533,4923915,4923915,4922533,"4923900, 4922695","15, 1220","0.01, 0.88","False, True","unambiguous, ambiguous","65_C9, 204_A6","10_G1, 38_G11"
tupA,['SO_4719'],4924199,4925023,4924199,4925023,"4924642, 4924374","443, 175","0.54, 0.21","True, True","unambiguous, unambiguous","158_D8, 292_G4","14_C11, 41_C7"
tupB,['SO_4720'],4925020,4925727,4925020,4925727,"4925567, 4925477, 4925478","547, 457, 458","0.77, 0.65, 0.65","False, True, True","unambiguous, unambiguous, ambiguous","238_D10, 172_D11, 24_B3","21_F1, 37_F10, 39_E12"
tupC,['SO_4721'],4925731,4926438,4925731,4926438,"4926120","389","0.55","False","unambiguous","13_H5","1_H4"
mobA,['SO_4722'],4926422,4927015,4926422,4927015,"4927014, 4926596, 4927014","592, 174, 592","1.00, 0.29, 1.00","True, False, True","unambiguous, unambiguous, unambiguous","7_B3, 396_A4, 7_B3","1_C2, 34_B1, 45_F5"
mobB/moeA,['SO_4723'],4927046,4928845,4927046,4928845,"4927125","79","0.04","False","unambiguous","307_B12","26_H10"
moaA,['SO_4724'],4928862,4929845,4928862,4929845,"4929539, 4929224, 4929248","677, 362, 386","0.69, 0.37, 0.39","False, True, True","unambiguous, ambiguous, ambiguous","375_E8, 397_G3, 222_B3","32_A4, 34_C3, 39_H6"
mutM,['SO_4725'],4929927,4930382,4929927,4930382,"4930081","154","0.34","True","ambiguous","313_B3","42_B1"
mutM,['SO_4726'],4930407,4931222,4930407,4931222,"4930456, 4930993, 4931193","49, 586, 786","0.06, 0.72, 0.96","False, True, True","unambiguous, unambiguous, unambiguous","141_C8, 233_B3, 353_B3","6_A11, 39_A10, 43_E1"
csrC,['SO_m010'],4931787,4931943,4931787,4931943,"","","","","","",""
SO_4727,['SO_4727'],4932072,4932710,4932072,4932710,"4932096","24","0.04","False","unambiguous","166_B12","15_A7"
yihI,['SO_4728'],4932793,4933344,4932793,4933344,"4933131, 4933263","338, 470","0.61, 0.85","False, True","unambiguous, unambiguous","139_F9, 360_F3","13_A9, 43_H3"
SO_4729,['SO_4729'],4933413,4933880,4933413,4933880,"4933598","185","0.40","False","unambiguous","26_A10","1_H12"
hemN,['SO_4730'],4934138,4935514,4934138,4935514,"4934309","171","0.12","False","unambiguous","121_A3","5_F12"
add,['SO_4731'],4935584,4936579,4936579,4935584,"4936412","167","0.17","False","unambiguous","190_C5","17_E7"
SO_4732,['SO_4732'],4936782,4938587,4936782,4938587,"4937323, 4937172","541, 390","0.30, 0.22","True, True","unambiguous, unambiguous","358_H10, 310_C5","30_H11, 41_B12"
lypA,['SO_4733'],4938688,4939677,4938688,4939677,"4939168, 4938729","480, 41","0.49, 0.04","True, True","ambiguous, unambiguous","282_F5, 170_E11","24_F6, 37_H9"
SO_4734,['SO_4734'],4939634,4942084,4942084,4939634,"4940467, 4942029, 4941719","1617, 55, 365","0.66, 0.02, 0.15","True, False, True","ambiguous, unambiguous, unambiguous","99_C8, 15_A11, 386_B3","5_F1, 7_A9, 43_H9"
rrfI,['SO_r025'],4942377,4942496,4942496,4942377,"","","","","","",""
rrlI,['SO_r026'],4942700,4945592,4945592,4942700,"","","","","","",""
rrsI,['SO_r027'],4945904,4947437,4947437,4945904,"","","","","","",""
ccoG,['SO_4737'],4948034,4949461,4949461,4948034,"4948488, 4949277, 4948357","973, 184, 1104","0.68, 0.13, 0.77","False, False, True","ambiguous, unambiguous, ambiguous","2_G9, 319_C9, 340_A2","7_C2, 27_H9, 29_G4"
SO_4738,['SO_4738'],4949553,4949903,4949553,4949903,"4949603","50","0.14","False","unambiguous","67_B5","3_E8"
menB,['SO_4739'],4950022,4950924,4950022,4950924,"4950133","111","0.12","False","unambiguous","319_H12","27_D10"
SO_4740,['SO_4740'],4951092,4951295,4951092,4951295,"4951153, 4951106","61, 14","0.30, 0.07","False, True","unambiguous, unambiguous","323_D12, 313_B3","28_B1, 42_B1"
glmS,['SO_4741'],4951376,4953205,4953205,4951376,"","","","","","",""
glmR,['SO_4742'],4953282,4954052,4954052,4953282,"4953785, 4953476","267, 576","0.35, 0.75","False, True","unambiguous, unambiguous","119_A12, 248_B3","12_D8, 40_A4"
